cupk,12 oz kids cups combo w/ lids,,,,500ctn,
,SHOOTER CUPS,,,,,
shooter,1 oz  shooter glass (93-181),,,,1440ctn,
,FOAM CUPS,,,,,
cups4f,4   oz    Foam cups ,,,,1000ctn,
cup8f,8   oz    Foam cups,,,,1000ctn,
cups12f,12 oz    Foam cups ( 12j12),,,,1000ctn,
cups14f,14 oz    Foam cups  (14j14),,,,1000ctn,
,PALSTIC DRINKING CUPS ,,,,,
cup9, 9 oz     (Translucent)  ,,,,2500ctn,
cup12,12 oz   (Translucent) ,,,,1000ctn,
cup14,14 oz   (Translucent) ,,,,1000ctn,
cup16,16 oz   (Translucent) ,,,,1000ctn,
cup20,20 oz   (Translucent) ,,,,1000ctn,
,COFFEE CUPS/Expresso  ,,,,,
Cup8c,8oz Coffee cups single wall     (White),,,,1000ctn,
Cup12c,12 oz Coffee cups single wall  (White),,,,1000ctn,
Cup16c,16 oz Coffee cups single wall  (White),,,,500ctn,
Cup20c,20 oz Coffee cups single wall  (White),,,,500ctn,
expresso,4oz white expresso cups,,,,1000ctn,
,PLATES ,,,,,
plate6f ,6?  Foam Plates  ,,,,1000ctn,
plate9f,9?  Foam Plates,,,,500ctn,
plate10f,10?Foam Plates,,,,125ctn,
plate9,9?   Strong Paper (sage),,,,500ctn,
,FOIL CONTAINER LIDS,,,,,
liddome,1  lb dome lid foil,,,,1000ctn,
pansl,1  lb foil lids  ,,,,1000ctn,
214lid,21/4   Oblong  lid ,,,,500ctn,
steaml,Half  steam  table  lid ,,,,100ctn,
steamlf,Full steam  table   lid,,,,50ctn,
lids9f,9? round foil    (Board lids) ,,,,500ctn,
liddome9,9? Round  lids clear (Dome).,,,,500ctn,
lids7f,7? round foil    (Board lids) ,,,,500ctn,
,FOAM CUP LIDS,,,,,
lids4f,4  oz plastic lids for foam cups ,,,,1000ctn,
lids8f,8  oz tear off lids for foam cups (8j8),,,,1000ctn,
lids12f,12 oz tear off lids for foam cups (12j12),,,,1000ctn,
,DELI LIDS,,,,,
delil,deli container lids clear (8oz-16oz-32oz),,,,500ctn,
delilp,Pineapple container lids   ,,,,500ctn,
,PLASTIC CUP LIDS (beer),,,,,
lids14,14 oz lids (Translucent),,,,1000ctn,
lid20,20 oz lids (Translucent),,,,1000ctn,
lid16/20,16  & 20 oz lids  x-slot,,,,1000ctn,
,COFFEE CUPS LIDS,,,,,
lidscd,Coffee  lids  (Black)    Fits 12- 16 -20  0Z,,,,1000ctn,
Lidsc8,Coffee  lids  (Black)    Fits  8 oz,,,,1000ctn,
,PORTION CUP LIDS,,,,,
lids1,1 oz lids clear,,,,5000ctn,
lids2,2 oz lids clear,,,,2500ctn,
lids34,3 1/4  & 4 oz lids clear,,,,2500ctn,
,CUTLERY KIT  (SPEEDY KITS),,,,,
cutleryt,"Kit   (91-991)     (N,F,K,S,P,T)   (White) ",,,,500ctn,
cutlerytc,"Kit   (MK-97)     (N,F,K,S,P,T)   (White)",,,,500ctn,
cutlery,"Kit   (91-990)     (N,F,K,S,P)      (White)",,,,500ctn,
cutleryw,"Kit   (91-993)     (N,F,K,S,P,T,W) (White)",,,,1000ctn,
cutleryb,"Kit  (Mk-551      (N,F,K,S,P)      (Black)",,,,500ctn,
cutlerywb,"Kit  (MK-651)    (N,F,K,S,P,W)  (Black)",,,,500ctn,
cutlerysb,"Kit   (91-981)    (N,F,K,S,P,SS)  (Black)",,,,500ctn,
,Bulk cutlery,,,,,
forkc,Forks     (Bulk),,,,1000ctn,
knivesc,Knifes   (Bulk),,,,1000ctn,
spoonsc,Soup Spoons    (Bulk),,,,1000ctn,
forksw,Forks                (Bulk)   Individualy    Wrapped,,,,1000ctn,
knifew,Knifes              (Bulk)   Individualy    Wrapped,,,,1000ctn,
spoonw,Soup Spoons    (Bulk)   Individualy    Wrapped,,,,1000ctn,
,Bulk cutlery,,,,,
coffees,Coffee stirrer 7? ,,,,1000pcs,
stir,Coffee stirrer 4? ,,,,10x1000pcs,
